======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
219.139.124.61:8089       | CCTV3                | 4.55   Mbps | 57%
219.140.4.193:7777        | CCTV16               | 1.29   Mbps | 100%
219.140.4.193:7777        | 浙江卫视                 | 1.96   Mbps | 100%
219.140.6.129:7777        | CCTV12               | 1.29   Mbps | 100%
219.140.6.129:7777        | CCTV7                | 0.75   Mbps | 23%
219.140.6.129:7777        | 天津卫视                 | 0.81   Mbps | 100%
219.145.93.74:10000       | 上海卫视                 | 1.39   Mbps | 86%
219.145.93.74:10000       | CCTV11戏曲             | 0.8    Mbps | 0%
219.145.93.74:10000       | CCTV9纪录              | 1.23   Mbps | 100%
219.159.91.10:8801        | 江苏卫视                 | 1.12   Mbps | 100%
219.159.91.10:8801        | 重庆卫视                 | 0.23   Mbps | 100%
219.159.91.10:8801        | CCTV6电影              | 0.42   Mbps | 100%
221.11.56.114:8888        | CCTV5+体育赛事           | 0.61   Mbps | 100%
221.11.56.114:8888        | CCTV11戏曲             | 1.44   Mbps | 0%
221.11.56.114:8888        | CCTV2                | 2.75   Mbps | 46%
221.13.232.181:1999       | CCTV7                | 7.45   Mbps | 23%
221.13.232.181:1999       | CCTV13               | 8.49   Mbps | 0%
221.13.232.181:1999       | 浙江卫视                 | 8.53   Mbps | 86%
221.13.232.239:1999       | CCTV13               | 6.2    Mbps | 0%
221.13.232.239:1999       | CCTV5                | 9.1    Mbps | 91%
221.13.232.239:1999       | CCTV11               | 8.45   Mbps | 73%
221.13.234.35:9901        | CCTV5体育              | 6.72   Mbps | 26%
221.13.234.35:9901        | CCTV8电视剧             | 4.0    Mbps | 96%
221.13.234.35:9901        | 河南新闻频道               | 2.45   Mbps | 100%
221.13.234.45:9901        | 安阳新闻综合               | 7.65   Mbps | 0%
221.13.234.45:9901        | CCTV11               | 6.12   Mbps | 79%
221.13.234.45:9901        | CCTV14               | 4.8    Mbps | 42%
221.13.235.142:9901       | 公共频道                 | 7.27   Mbps | 64%
221.13.235.142:9901       | CCTV11戏曲             | 5.41   Mbps | 0%
221.13.235.142:9901       | CCTV15音乐             | 5.65   Mbps | 0%
221.13.235.233:9901       | CCTV10科教             | 7.59   Mbps | 0%
221.13.235.233:9901       | 河南戏曲                 | 7.5    Mbps | 0%
221.13.235.233:9901       | 公共频道                 | 7.67   Mbps | 0%
221.14.142.118:8000       | CCTV15音乐             | 0.78   Mbps | 100%
221.14.142.118:8000       | 广西卫视                 | 1.12   Mbps | 100%
221.14.142.118:8000       | CCTV4中文国际            | 0.74   Mbps | 100%
221.14.142.118:9003       | CCTV13新闻             | 0.97   Mbps | 100%
221.14.142.118:9003       | CCTV12社会与法           | 0.66   Mbps | 100%
221.14.142.118:9003       | CCTV6                | 0.62   Mbps | 100%
221.226.67.66:8199        | CCTV11               | 0.61   Mbps | 100%
221.226.67.66:8199        | 海南卫视                 | 0.66   Mbps | 100%
221.226.67.66:8199        | CCTV12               | 0.75   Mbps | 100%
221.232.196.166:7777      | CCTV11               | 2.42   Mbps | 100%
221.232.196.166:7777      | CCTV15               | 0.97   Mbps | 100%
221.232.196.166:7777      | 湖南卫视                 | 2.01   Mbps | 100%
221.232.196.192:7777      | 东方卫视                 | 2.41   Mbps | 0%
221.232.196.192:7777      | CCTV5+               | 2.81   Mbps | 51%
221.232.196.192:7777      | CCTV7                | 0.96   Mbps | 28%
221.232.196.204:7777      | CCTV5+体育赛事           | 1.12   Mbps | 100%
221.232.196.204:7777      | CGTN                 | 4.22   Mbps | 0%
221.232.196.204:7777      | 浙江卫视                 | 3.72   Mbps | 95%
